Date,PantoneName,PantoneID,Hex#,Word1,Word2,Word3
1/31/18,Aquifer,15-5207,#82ABAB,devoted,bighearted,humanitarian
2/1/18,Burnished Lilac,15-1905,#C6AFB5,independent,persevering,one-pointed
2/2/18,Orchid Hush,13-3805,#CEC4D7,compassionate,poetic,artistic
2/3/18,Persian Violet,17-3925,#8A8DB5,poignant,precise,talented
2/4/18,Celadon Green,14-0114,#B3C3A2,tenacious,unusual,hardworking
2/5/18,Lavender Lustre,16-3920,#8A9CC4,provocative,private,alluring
2/6/18,Violet,16-3320,#C081BA,trendsetter,seductive,magnetic
2/7/18,Paisley Purple,17-3730,#8877B2,spiritual,efficient,health oriented
2/8/18,Crocus,16-3115,#C581B2,driven,quirky,charming
2/9/18,Mauve Shadows,16-3205,#B89CA9,thorough,intellectual,fighter of rights
2/12/18,Wisteria,16-3810,#A29BB6,communicative,humanitarian,business acumen
2/13/18,Laurel Green,15-6313,#A9BA9D,lively,enduring,creative
2/14/18,Vista Blue,15-3930,#7C9ED9,funny,unusual,restless
2/15/18,Lupine,16-3521,#BEA0C8,kind,sensitive,smart
2/16/18,Lavendula,15-3620,#BBA0CE,powerful,theatrical,driven
2/17/18,Dusty Lavender,17-3313,#9E759B,talented,fighter,sensitive
2/18/18,Orchid Haze,16-2107,#B1869F,charismatic,intelligent,principled
2/20/18,Lavender Aura,16-3911,#9F9AAE,profound,emotional,transforming
2/22/18,Cameo Green,14-6312,#A7C2AC,understanding,conceptual,appealing
2/23/18,Forever Blue,16-4019,#819ABD,provocative,self-assured,trouble-shooter
